source,target
1,1000
11,1001
9,1002
11,1003
10,1004
11,1005
15,1006
12,1007
11,1008
9,1009
4,1010
6,1011
1,1012
12,1013
9,1014
11,1015
9,1016
12,1017
11,1018
1,1019
9,1020
11,1021
23,1022
3,1023
1,1024
3,1025
1,1026
12,1027
11,1028
9,1029
11,1030
23,1031
9,1032
1,1033
12,1034
11,1035
12,1036
11,1037
6,1038
6,1039
1,1040
11,1041
23,1042
5,1043
1,1044
7,1045
9,1046
12,1047
27,1048
9,1049
3,1050
1,1051
11,1052
27,1053
23,1054
9,1055
9,1056
28,1057
9,1058
1,1059
1,1060
9,1061
11,1062
4,1063
16,1064
11,1065
27,1066
1,1067
12,1068
1,1069
7,1070
1,1071
9,1072
4,1073
6,1074
1,1075
1,1076
1,1077
1,1078
1,1079
1,1080
1,1081
11,1082
12,1083
11,1084
1,1085
5,1086
12,1087
12,1088
11,1089
12,1090
1,1091
11,1092
11,1093
23,1094
11,1095
19,1096
12,1097
12,1098
4,1099
27,1100
12,1101
19,1102
12,1103
12,1104
9,1105
5,1106
9,1107
9,1108
27,1109
9,1110
27,1111
11,1112
9,1113
27,1114
12,1115
28,1116
1,1117
27,1118
12,1119
11,1120
30,1121
22,1122
3,1123
1,1124
27,1125
9,1126
12,1127
11,1128
14,1129
27,1130
9,1131
9,1132
27,1133
27,1134
27,1135
1,1136
14,1137
12,1138
11,1139
15,1140
1,1141
1,1142
1,1143
12,1144
11,1145
9,1146
23,1147
27,1148
9,1149
6,1150
1,1151
1,1152
12,1153
27,1154
9,1155
9,1156
11,1157
5,1158
1,1159
11,1160
27,1161
9,1162
5,1163
27,1164
1,1165
11,1166
25,1167
27,1168
1,1169
11,1170
23,1171
1,1172
19,1173
7,1174
1,1175
27,1176
11,1177
1,1178
1,1179
12,1180
11,1181
6,1182
12,1183
6,1184
11,1185
15,1186
6,1187
12,1188
1,1189
27,1190
27,1191
12,1192
18,1193
1,1194
3,1195
27,1196
12,1197
19,1198
11,1199
26,1200
27,1201
12,1202
1,1203
1,1204
1,1205
12,1206
15,1207
8,1208
5,1209
27,1210
22,1211
7,1212
27,1213
1,1214
27,1215
24,1216
1,1217
1,1218
7,1219
12,1220
9,1221
1,1222
12,1223
23,1224
5,1225
15,1226
3,1227
19,1228
6,1229
6,1230
9,1231
9,1232
5,1233
15,1234
27,1235
1,1236
5,1237
1,1238
12,1239
11,1240
11,1241
11,1242
11,1243
12,1244
12,1245
11,1246
23,1247
3,1248
3,1249
5,1250
1,1251
12,1252
12,1253
19,1254
19,1255
5,1256
12,1257
1,1258
3,1259
12,1260
1,1261
12,1262
27,1263
9,1264
6,1265
12,1266
15,1267
9,1268
6,1269
12,1270
26,1271
25,1272
27,1273
12,1274
27,1275
27,1276
19,1277
1,1278
11,1279
5,1280
1,1281
1,1282
15,1283
12,1284
15,1285
1,1286
6,1287
27,1288
12,1289
22,1290
1,1291
7,1292
19,1293
1,1294
27,1295
9,1296
6,1297
12,1298
26,1299
12,1300
10,1301
9,1302
27,1303
9,1304
9,1305
1,1306
12,1307
11,1308
9,1309
1,1310
11,1311
9,1312
11,1313
12,1314
6,1315
1,1316
11,1317
23,1318
27,1319
12,1320
15,1321
1,1322
11,1323
27,1324
6,1325
6,1326
3,1327
1,1328
1,1329
1,1330
12,1331
11,1332
11,1333
9,1334
28,1335
1,1336
12,1337
9,1338
27,1339
27,1340
15,1341
12,1342
26,1343
11,1344
26,1345
27,1346
1,1347
1,1348
27,1349
28,1350
1,1351
11,1352
9,1353
11,1354
25,1355
12,1356
1,1357
1,1358
1,1359
9,1360
10,1361
3,1362
27,1363
27,1364
12,1365
1,1366
7,1367
9,1368
34,1369
9,1370
15,1371
12,1372
11,1373
9,1374
27,1375
11,1376
5,1377
1,1378
27,1379
27,1380
7,1381
11,1382
27,1383
32,1384
10,1385
11,1386
27,1387
11,1388
5,1389
1,1390
27,1391
22,1392
27,1393
5,1394
32,1395
11,1396
6,1397
1,1398
24,1399
1,1400
26,1401
25,1402
27,1403
12,1404
1,1405
19,1406
20,1407
9,1408
1,1409
1,1410
14,1411
14,1412
11,1413
11,1414
12,1415
28,1416
27,1417
11,1418
12,1419
11,1420
1,1421
1,1422
12,1423
7,1424
3,1425
27,1426
3,1427
9,1428
12,1429
11,1430
12,1431
9,1432
1,1433
27,1434
1,1435
1,1436
11,1437
1,1438
12,1439
11,1440
1,1441
1,1442
12,1443
27,1444
3,1445
9,1446
12,1447
7,1448
27,1449
9,1450
1,1451
4,1452
1,1453
27,1454
1,1455
19,1456
12,1457
7,1458
1,1459
1,1460
32,1461
12,1462
11,1463
1,1464
9,1465
1,1466
27,1467
12,1468
9,1469
12,1470
9,1471
1,1472
27,1473
11,1474
1,1475
12,1476
11,1477
27,1478
12,1479
9,1480
19,1481
12,1482
9,1483
15,1484
1,1485
27,1486
19,1487
1,1488
19,1489
1,1490
26,1491
12,1492
1,1493
9,1494
6,1495
12,1496
25,1497
12,1498
27,1499
11,1500
19,1501
1,1502
30,1503
1,1504
27,1505
5,1506
27,1507
9,1508
12,1509
19,1510
9,1511
12,1512
11,1513
27,1514
15,1515
9,1516
1,1517
1,1518
1,1519
27,1520
7,1521
6,1522
1,1523
12,1524
1,1525
9,1526
11,1527
23,1528
9,1529
12,1530
12,1531
4,1532
1,1533
1,1534
1,1535
6,1536
12,1537
11,1538
6,1539
9,1540
11,1541
5,1542
6,1543
27,1544
27,1545
12,1546
11,1547
1,1548
1,1549
25,1550
12,1551
11,1552
9,1553
4,1554
15,1555
12,1556
5,1557
12,1558
15,1559
