source,target
1,2
2,3
3,4
4,5
5,6
6,1
1,7
7,8
8,9
9,1
1,2
2,3
3,4
4,5
5,6
6,10
10,7
7,3
3,11
1,2
2,4
4,3
3,12
12,3
3,9
1,2
2,4
4,3
3,12
12,3
3,9
9,3
3,11
1,2
2,4
4,3
3,6
6,10
1,2
2,5
5,1
1,13
13,8
8,14
14,3
3,11
1,2
2,15
15,16
16,12
12,15
1,2
2,15
15,12
12,3
3,16
16,12
1,2
2,15
15,12
12,3
3,9
9,17
17,18
18,11
11,16
16,11
1,2
2,15
15,8
8,3
3,9
1,2
2,15
15,4
4,7
7,17
17,9
9,3
3,4
1,2
2,15
15,4
4,7
7,17
17,9
9,4
4,5
5,8
8,17
17,6
1,2
2,15
15,4
4,7
7,14
14,12
12,3
3,9
9,19
19,1
1,2
2,15
15,4
4,5
5,20
20,16
16,12
1,2
2,15
15,9
9,8
8,3
3,12
12,3
3,9
1,2
2,15
15,9
9,8
8,3
3,12
12,3
3,21
21,3
3,11
1,2
2,15
15,9
9,8
8,3
3,4
4,14
14,1
1,9
1,2
2,15
15,9
9,5
5,1
1,19
19,16
16,12
1,2
2,15
15,9
9,5
5,1
1,19
19,9
9,3
3,11
1,2
2,15
15,17
17,5
5,22
22,8
8,9
9,1
1,2
2,15
15,17
17,5
5,22
22,3
3,4
4,15
15,9
1,2
2,15
15,17
17,5
5,22
22,3
3,11
1,2
2,15
15,17
17,5
5,22
22,3
3,23
1,16
16,12
12,9
9,4
4,3
1,16
16,24
24,8
8,7
7,4
4,14
14,19
19,1
1,16
16,25
25,7
7,20
20,25
25,5
5,8
8,3
1,22
22,1
1,20
20,9
9,1
1,2
2,8
8,7
7,8
8,9
9,1
1,22
22,1
1,20
20,9
9,1
1,16
16,12
1,22
22,1
1,20
20,9
9,1
1,21
21,3
3,11
1,22
22,1
1,20
20,9
9,4
4,14
14,1
1,9
1,22
22,12
12,19
19,14
14,10
10,9
9,3
3,11
1,22
22,12
12,19
19,14
14,10
10,9
9,3
3,23
1,22
22,12
12,20
20,9
1,22
22,12
12,20
20,9
9,19
19,1
1,22
22,24
24,12
12,13
13,12
1,22
22,24
24,12
12,13
13,3
3,11
1,22
22,8
8,19
19,9
9,4
4,7
7,4
4,26
26,8
8,12
1,22
22,8
8,9
9,8
8,14
14,3
3,11
1,22
22,8
8,9
9,8
8,14
14,17
17,6
1,22
22,18
18,12
12,19
19,9
9,8
8,14
14,17
17,6
1,22
22,6
6,8
8,3
3,8
8,15
15,9
9,5
5,1
1,9
9,8
8,14
14,1
1,22
22,6
6,8
8,3
3,8
8,15
15,9
9,5
5,1
1,9
9,8
8,14
14,3
3,11
1,22
22,6
6,8
8,3
3,8
8,15
15,9
9,5
5,1
1,9
9,8
8,14
14,3
3,23
1,22
22,6
6,8
8,3
3,8
8,15
15,9
9,5
5,10
10,9
9,4
4,5
1,22
22,6
6,8
8,5
5,1
1,7
7,8
8,9
9,1
1,22
22,6
6,8
8,5
5,10
10,7
1,22
22,4
4,7
7,12
12,15
15,16
16,12
12,3
3,9
1,22
22,4
4,20
20,16
16,12
1,22
22,4
4,20
20,9
9,4
4,14
14,1
1,3
3,27
1,22
22,4
4,20
20,9
9,4
4,14
14,1
1,9
1,22
22,5
5,12
12,3
3,1
1,7
7,8
8,3
1,22
22,5
5,12
12,15
15,1
1,22
22,5
5,12
12,15
15,3
3,11
1,22
22,5
5,12
12,15
15,3
3,27
1,22
22,5
5,12
12,15
15,3
3,23
1,22
22,5
5,12
12,15
15,4
4,14
14,1
1,9
1,22
22,5
5,12
12,15
15,10
10,9
1,22
22,5
5,12
12,15
15,10
10,28
1,22
22,14
14,12
12,3
3,9
1,22
22,14
14,12
12,3
3,9
9,8
8,15
15,9
9,1
1,22
22,14
14,12
12,3
3,9
9,17
17,5
5,1
1,22
22,14
14,4
4,19
19,10
10,9
1,22
22,14
14,4
4,19
19,10
10,9
9,3
3,11
1,12
12,5
5,4
1,12
12,5
5,4
4,2
2,8
8,16
1,12
12,5
5,4
4,2
2,3
3,11
1,12
12,5
5,4
4,22
22,25
25,3
3,1
1,6
6,8
8,16
16,19
19,27
1,12
12,5
5,4
4,22
22,25
25,3
3,1
1,6
6,8
8,19
19,1
1,12
12,5
5,4
4,7
7,8
8,3
3,8
8,12
1,12
12,5
5,4
4,7
7,8
8,3
3,19
19,1
1,12
12,5
5,4
4,15
15,4
4,7
1,12
12,5
5,4
4,14
14,19
19,1
1,29
29,12
12,19
19,9
1,29
29,5
5,4
1,29
29,5
5,4
4,22
22,8
8,13
13,8
8,1
1,19
19,17
17,6
1,29
29,9
9,1
1,29
29,30
30,5
5,1
1,29
29,30
30,5
5,19
19,1
1,26
26,12
12,3
3,22
22,1
1,26
26,12
12,3
3,9
9,19
19,1
1,26
26,12
12,3
3,9
9,17
17,5
5,1
1,26
26,8
8,7
7,8
8,9
9,1
1,26
26,8
8,7
7,3
3,11
1,26
26,8
8,9
9,1
1,16
16,12
1,26
26,8
8,9
9,1
1,21
21,3
3,11
1,26
26,8
8,9
9,19
19,1
1,26
26,8
8,9
9,10
10,9
9,4
4,5
1,26
26,7
7,4
4,6
6,12
12,5
5,1
1,16
16,12
1,26
26,5
5,12
12,26
26,1
1,16
16,12
1,26
26,5
5,12
12,26
26,10
10,9
9,3
3,11
1,26
26,5
5,12
12,15
15,12
1,26
26,5
5,12
12,15
15,8
8,14
14,8
8,9
9,1
1,26
26,5
5,12
12,15
15,8
8,14
14,3
3,11
1,26
26,5
5,12
12,15
15,11
11,14
14,3
3,11
1,26
26,5
5,12
12,15
15,11
11,14
14,3
3,23
1,26
26,5
5,10
10,5
5,3
3,11
1,26
26,5
5,10
10,5
5,3
3,11
11,19
1,26
26,10
10,14
14,12
1,26
26,31
31,3
3,8
8,12
1,8
8,19
19,8
8,22
22,4
1,19
19,1
1,22
22,12
12,6
6,8
8,16
16,19
19,27
1,19
19,1
1,22
22,12
12,6
6,8
8,12
1,19
19,1
1,22
22,12
12,6
6,8
8,19
1,19
19,16
16,12
1,19
19,16
16,12
12,7
7,12
12,5
5,1
1,16
16,12
1,19
19,16
16,12
12,7
7,12
12,5
5,4
4,14
14,1
1,9
1,19
19,16
16,12
12,7
7,12
12,5
5,10
10,9
9,4
4,5
1,19
19,16
16,12
12,3
3,9
1,19
19,16
16,12
12,3
3,9
9,4
4,14
14,1
1,9
1,19
19,16
16,12
12,20
20,9
9,4
4,14
14,1
1,3
3,27
1,19
19,16
16,12
12,20
20,9
9,4
4,14
14,1
1,9
1,19
19,16
16,12
12,20
20,9
9,4
4,14
14,1
1,9
9,12
12,7
7,3
3,27
1,19
19,16
16,12
12,20
20,9
9,4
4,14
14,10
10,3
3,11
1,19
19,16
16,12
12,15
15,16
16,24
24,4
4,20
20,3
3,4
4,15
15,9
1,19
19,16
16,12
12,15
15,16
16,24
24,4
4,20
20,3
3,27
1,19
19,16
16,8
8,12
1,19
19,16
16,8
8,4
4,3
3,10
10,28
1,19
19,16
16,8
8,4
4,14
14,19
19,1
1,19
19,16
16,8
8,4
4,14
14,27
1,19
19,7
7,8
8,6
6,1
1,9
9,8
8,13
13,1
1,16
16,12
1,19
19,7
7,8
8,6
6,1
1,9
9,8
8,13
13,1
1,21
21,3
3,11
1,19
19,3
3,30
1,19
19,4
4,5
5,22
1,19
19,4
4,5
5,22
22,12
12,4
4,3
1,19
19,4
4,5
5,22
22,12
12,4
4,3
3,8
8,15
15,9
9,1
1,19
19,4
4,5
5,22
22,12
12,4
4,3
3,4
4,14
14,27
