id,text,pos
1000,abnormalita,N
1001,abnormální,A
1002,abonent,N
1003,abonentní,A
1004,abonmá,N
1005,abrazivní,A
1006,absces,N
1007,absence,N
1008,absentující,A
1009,absint,N
1010,absolutno,N
1011,absolutorium,N
1012,absolventka,N
1013,absorpce,N
1014,abstinent,N
1015,abstinenční,A
1016,abstinovat,V
1017,abstrakce,N
1018,abstraktní,A
1019,absurdita,N
1020,absurdnost,N
1021,absurdní,A
1022,absurdně,D
1023,aceton,N
1024,achilovka,N
1025,acylpyrin,N
1026,adaptabilita,N
1027,adaptace,N
1028,adaptační,A
1029,adaptovat,V
1030,adekvátní,A
1031,adekvátně,D
1032,adept,N
1033,adeptka,N
1034,adheze,N
1035,adhezní,A
1036,adiktologie,N
1037,aditivní,A
1038,aditivum,N
1039,adjektivum,N
1040,administrativa,N
1041,administrativní,A
1042,administrativně,D
1043,administrátor,N
1044,admiralita,N
1045,admirál,N
1046,adolescent,N
1047,adopce,N
1048,adoptovaný,A
1049,adoptovat,V
1050,adrenalin,N
1051,adresa,N
1052,adresní,A
1053,adresný,A
1054,adresně,D
1055,adresovat,V
1056,adresát,N
1057,adresář,N
1058,advent,N
1059,adventista,N
1060,adventura,N
1061,advokát,N
1062,advokátní,A
1063,aero,N
1064,aerobic,N
1065,aerobní,A
1066,aerodynamický,A
1067,aerodynamika,N
1068,aerolinie,N
1069,aerolinka,N
1070,aerosol,N
1071,aerovka,N
1072,afekt,N
1073,afro,N
1074,afrodiziakum,N
1075,afta,N
1076,aféra,N
1077,aférka,N
1078,agenda,N
1079,agentka,N
1080,agentura,N
1081,agilita,N
1082,agilní,A
1083,agitace,N
1084,agitační,A
1085,agitka,N
1086,agitátor,N
1087,aglomerace,N
1088,agregace,N
1089,agregátní,A
1090,agrese,N
1091,agresivita,N
1092,agresivní,A
1093,agresívní,A
1094,agresívně,D
1095,agrární,A
1096,agrárník,N
1097,agáve,N
1098,agónie,N
1099,aikido,N
1100,akademický,A
1101,akademie,N
1102,akademik,N
1103,akce,N
1104,akcelerace,N
1105,akcelerovat,V
1106,akcelerátor,N
1107,akcent,N
1108,akcentovat,V
1109,akceptovaný,A
1110,akceptovat,V
1111,akceptovatelný,A
1112,akceptování,N
1113,akceschopnost,N
1114,akceschopný,A
1115,akcie,N
1116,akcionář,N
1117,akciovka,N
1118,akciový,A
1119,aklimatizace,N
1120,aklimatizační,A
1121,akné,N
1122,akord,N
1123,akordeon,N
1124,akordeonista,N
1125,akordeonový,A
1126,akorát,D
1127,akreditace,N
1128,akreditační,A
1129,akreditiv,N
1130,akreditovaný,A
1131,akreditovat,V
1132,akrobat,N
1133,akrobatický,A
1134,akrylový,A
1135,akrylátový,A
1136,akta,N
1137,aktiv,N
1138,aktivace,N
1139,aktivační,A
1140,aktivismus,N
1141,aktivista,N
1142,aktivistka,N
1143,aktivita,N
1144,aktivizace,N
1145,aktivizační,A
1146,aktivizovat,V
1147,aktivně,D
1148,aktivovaný,A
1149,aktivovat,V
1150,aktivum,N
1151,aktovka,N
1152,aktualita,N
1153,aktualizace,N
1154,aktualizovaný,A
1155,aktualizovat,V
1156,aktuálnost,N
1157,aktuální,A
1158,aktér,N
1159,aktérka,N
1160,akumulační,A
1161,akumulovaný,A
1162,akumulovat,V
1163,akumulátor,N
1164,akumulátorový,A
1165,akupresura,N
1166,akupunkturní,A
1167,akusticky,D
1168,akustický,A
1169,akustika,N
1170,akutní,A
1171,akutně,D
1172,akvabela,N
1173,akvapark,N
1174,akvarel,N
1175,akvarela,N
1176,akvarelový,A
1177,akvarijní,A
1178,akvarista,N
1179,akvaristika,N
1180,akvizice,N
1181,akviziční,A
1182,akvárium,N
1183,akácie,N
1184,alarm,N
1185,alarmující,A
1186,albatros,N
1187,album,N
1188,alchymie,N
1189,alchymista,N
1190,alchymistický,A
1191,alegorický,A
1192,alegorie,N
1193,alej,N
1194,alela,N
1195,alergen,N
1196,alergický,A
1197,alergie,N
1198,alergik,N
1199,alergizující,A
1200,alergolog,N
1201,alergologický,A
1202,alergologie,N
1203,alergoložka,N
1204,alfa,N
1205,algebra,N
1206,aliance,N
1207,alias,J
1208,alibi,N
1209,aligátor,N
1210,alkalický,A
1211,alkaloid,N
1212,alkohol,N
1213,alkoholický,A
1214,alkoholička,N
1215,alkoholový,A
1216,almanach,N
1217,almara,N
